Comment,Time,zan
救命真的好喜欢这首歌，大家别忘给这个小姐姐关注啊啊啊，她的新歌超好听！,6月3日 00:22  来自广东,85
比起失去你 我更害怕别人拥有你,6月2日 22:35  来自北京,
就猜到这首收藏会高,6月2日 08:01  来自陕西,
浑浑噩噩的，肮脏但是浪漫的爱情,6月1日 16:40  来自河北,
,6月1日 11:28  来自山东,
即刻电音的？,5月31日 23:46  来自新疆,
必火,5月31日 22:04  来自四川,1
低调,5月31日 01:57  来自四川,
your mom and the morning baby I'm,5月30日 21:21  来自吉林,
我刚开始听的时候才几万收藏,5月30日 21:00  来自广东,1
好听,5月30日 00:39  来自广东,
我的眼睛在读你 不要回避我的眼睛,5月29日 22:35  来自重庆,1
你的所有我都想占有,5月29日 19:46  来自安徽,
歌好好听！姐姐也好美,5月29日 19:24  来自吉林,
66,5月29日 12:01  来自河南,2
这首歌也是很好听好吧，一听就爱上了,5月29日 10:20  来自四川,
有一种极限拉扯的感觉,5月28日 20:46  来自安徽,4
一听这个歌某个人就在我脑海里跳舞,5月28日 18:18  来自广东,2
就让离别告诉你该怎么珍惜和悔改吧,5月28日 17:29  来自山东,
我的女朋友一起,5月28日 14:40  来自贵州,
“要是有人不贪恋你的身体，只喜欢你的灵魂，绝对是在扯淡”,5月28日 11:33  来自江苏,3
好喜欢这种感觉,5月28日 11:25  来自四川,
太爽了 非常上头,5月28日 09:29  来自陕西,
记录一下一起听1000分钟！,5月28日 02:43  来自广西,
就喜欢这种若隐若现的感觉（狗头）,5月28日 00:14  来自湖南,
好喜欢好喜欢,5月27日 23:57  来自云南,1
太好听了 sex的感觉,5月27日 19:05  来自福建,
泰酷辣这首歌,5月27日 18:46  来自青海,
盛夏初逢君，而今无已忘怀,5月27日 17:58  来自安徽,
开口跪。。。,5月27日 16:51  来自河南,1
babydoll,5月27日 16:48  来自四川,3
哦！宝贝你是如此的让我着迷！～,5月27日 13:51  来自山东,
,5月27日 12:33  来自北京,1
666,5月27日 11:15  来自北京,
此时有一个三年后的亿万富翁给了我一个赞,5月27日 02:04  来自重庆,1
早该火了,5月27日 00:56  来自山东,
如果你说你心疼我凌晨眼角的泪 我哭肿的双眼 手腕上的疤 可以拥抱我过往所有的不堪 看出我的逞强 听得懂我的反话 对我永远有耐心 我会哭的 其实我从不后悔遇见你 只是不想面对没有你的结局.#难遇庭 #情侣日常,5月27日 00:20  来自广东,
好爱,5月26日 22:57  来自湖北,
合作那首，除了换了中文歌词其他有什么不一样？原版yyds！,5月26日 21:39  来自山东,
我有一个故事，两年后再说,5月26日 21:16  来自河南,
我找了好久！,5月26日 21:00  来自福建,1
酷,5月26日 20:32  来自上海,1
感觉至上,5月26日 19:44  来自上海,1
欲死了,5月26日 17:44  来自山东,
"“她像一阵来自荷兰的风。”
“是在十七世纪的月光下，浪漫主义先驱沾着烈酒写下的诗。”",5月25日 22:05  来自新疆,
好欲 救命,5月25日 21:36  来自广西,1
从来没有人能保护你 只有自己内心强大才是真理,5月25日 21:35  来自广西,
小黄油专属BGM,5月25日 21:09  来自陕西,
夜微凉，灯微暗，暧昧散尽，笙歌婉转,5月25日 20:03  来自辽宁,
满脑子都是帅T在扭腰,5月25日 12:46  来自安徽,
2023高考已过，明年就轮到我们2024届了，希望一切安好。,5月24日 23:54  来自安徽,
do吗？我的意思是读你,5月24日 23:31  来自陕西,1
我要内心强大不畏惧,5月24日 23:31  来自陕西,1
不内心强大必死,5月24日 21:27  来自四川,1
OMG，这首《BABYDOLL》太好听啦！Ari Abdul的嗓音简直就是甜蜜的糖果，让我不自觉地进入了一个世界。歌词像一个自闭的女孩的内心独白，像糖衣炮弹般轻柔，却又蕴含着极深的孤独和渴望，简直就是一把切人心扉的利刃。就像这首歌的名字一样，这女孩就像是一个孤独的babdoll一样，渴望得到安慰与陪伴。这首歌的曲风是POP流行，轻快的曲调像婴儿的呼吸般，充满希望和生机。这首歌就像是一场美妙的梦，让人欲罢不能。曲调轻快愉悦，让我想起了日光下跳跃的泡泡，而歌词中的“Come break down these walls”更是让这首歌流露出一种希望有人为你打开心房的感觉，就像故事中王子拯救了睡美人一样！这首歌情感浓厚，句句铿锵入微，让我更加珍惜身边的每一个人，呼吁你们也来听听这首让人陷入了情感旋涡的歌曲吧！🎶💖🧚‍♀️,5月24日 18:53  来自新疆,1
3.14：,5月24日 14:27  来自浙江,
人和机器所书写的是永远不一样的，人所书写的是总会有一定的缺陷美，这是独一无二的，是你所永远书写不出来的。,5月24日 10:06  来自广东,
人和机器所书写的是永远不一样的，人所书写的是总会有一定的缺陷美，这是独一无二的，是你所永远书写不出来的。,5月24日 08:17  来自广东,
、：,5月23日 01:42  来自新疆,2
